------------------ 
Total Sell 115494.64000000003 | Total Buy 143278.26999999996 
Total Sell 121782.97000000003 | Total Buy 162430.33 
Total Sell 130079.06000000001 | Total Buy 179476.49 
Total Sell 136364.64 | Total Buy 195641.13 
Total Sell 142612.80000000005 | Total Buy 208489.72999999998 
Total Sell 150355.50000000003 | Total Buy 213938.22999999998 
Total Sell 157214.68000000002 | Total Buy 219170.76999999996 
Total Sell 165756.01000000004 | Total Buy 222711.93999999997 
Total Sell 173363.73 | Total Buy 230947.30999999997 
Total Sell 179709.71000000002 | Total Buy 239272.92999999996 
Total Sell 186742.30000000002 | Total Buy 249501.59999999998 
Total Sell 194106.78000000003 | Total Buy 257370.63999999998 
Total Sell 203027.27000000002 | Total Buy 265560.08999999997 
Total Sell 208545.63 | Total Buy 278349.25999999995 
